"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Lendelede";3,7;2,6;8,6;5,3;2,4;4,7;3,6;3,0;6,5;2,7;5,4
"Lennik";2,8;3,0;4,5;4,5;8,3;5,2;2,8;2,8;3,0;6,9;4,8
"Leopoldsburg";5,1;3,8;36,6;5,5;4,6;7,6;30,9;14,4;13,8;13,3;8,0
"Leuven";29,2;31,8;56,6;46,9;49,3;52,4;39,5;40,2;39,4;49,1;42,7
"Lichtervelde";1,2;1,4;5,3;2,5;3,1;4,3;2,9;2,6;3,7;3,1;4,5
"Liedekerke";2,3;3,0;5,0;5,2;6,2;5,3;4,9;6,1;5,2;6,9;6,3
"Lier";5,7;5,3;7,4;6,1;7,1;6,0;5,0;4,8;6,1;6,8;6,0
"Lierde";0,9;0,9;0,6;0,9;0,8;1,5;1,1;0,7;0,6;2,7;3,0
"Lievegem";1,7;2,7;2,3;2,6;4,1;3,7;2,2;2,3;2,9;3,1;3,1
"Lille";1,7;1,8;2,3;2,6;2,9;3,9;2,5;2,2;3,9;2,5;3,6
"Linkebeek";6,1;5,3;11,4;8,8;10,6;10,5;7,7;8,5;7,0;15,3;7,6
"Lint";15,2;15,0;16,4;9,7;12,9;12,2;7,2;7,7;6,7;5,9;4,2
"Linter";2,9;1,9;1,9;2,7;2,4;1,7;2,4;2,4;1,5;1,5;1,8
"Lo-Reninge";0,8;1,5;0,4;0,0;2,7;0,8;1,5;1,6;0,8;2,7;5,9
"Lochristi";1,9;3,1;3,2;3,3;3,4;3,7;3,0;4,1;4,2;5,4;4,5
"Lokeren";3,3;4,0;4,9;4,1;4,8;5,4;3,8;4,7;7,1;8,4;7,8
"Lommel";5,2;6,5;8,3;5,8;7,3;19,1;14,3;6,6;15,1;16,0;12,1
"Londerzeel";3,9;3,3;4,3;5,4;5,5;7,9;4,5;4,1;6,4;6,3;5,9
"Lubbeek";2,2;2,4;15,7;8,9;3,6;3,9;4,4;2,2;3,2;5,8;3,1
"Lummen";2,2;2,6;3,6;2,2;4,6;7,0;6,0;3,7;4,9;2,9;3,0
"Maarkedal";1,5;1,7;1,4;1,2;1,2;2,1;1,1;1,7;1,9;2,3;1,5
"Maaseik";7,1;9,2;9,8;8,3;9,6;9,1;9,7;9,0;10,9;11,8;11,7
"Maasmechelen";9,6;8,8;9,1;11,5;10,3;10,2;10,1;7,1;11,4;11,9;10,7
"Machelen";7,4;6,6;13,5;8,6;11,1;9,6;10,8;10,1;9,9;12,4;12,2
"Maldegem";4,4;5,2;4,8;5,0;5,2;5,2;3,2;4,0;4,5;5,4;5,5
"Malle";3,0;3,6;4,7;4,6;4,4;9,8;6,6;5,4;4,4;6,6;5,8
"Mechelen";8,4;7,0;11,4;8,9;9,1;11,2;9,2;7,3;11,2;14,9;13,0
"Meerhout";5,3;3,5;5,4;3,8;6,7;6,3;5,1;2,7;2,9;4,8;4,2
"Meise";4,1;3,7;6,2;6,6;6,6;5,7;5,4;4,6;6,6;6,5;5,3
"Menen";7,2;8,6;11,2;6,5;10,0;9,9;8,8;9,1;11,1;10,6;10,0
"Merchtem";4,7;2,3;6,2;5,2;6,5;5,7;6,4;6,1;5,5;6,5;6,0
"Merelbeke-Melle";4,4;3,6;4,6;4,4;4,7;4,6;4,4;4,5;5,7;6,8;6,0
"Merksplas";6,0;8,6;7,8;8,6;9,0;9,5;7,9;6,7;10,5;11,0;9,5
"Mesen";11,3;1,3;8,7;7,5;0,0;5,0;7,5;3,8;10,0;5,0;8,7
"Middelkerke";1,9;2,8;2,9;3,5;2,1;2,5;2,3;3,0;4,1;4,9;3,1
"Mol";7,3;7,7;8,8;7,8;8,9;9,0;6,0;6,4;10,2;9,9;8,9
"Moorslede";2,7;3,2;3,2;2,3;4,9;4,8;2,7;1,5;2,7;4,9;4,8
"Mortsel";4,8;5,4;7,8;5,9;6,1;5,5;6,2;4,4;6,7;7,7;7,3
"Nazareth-De Pinte";2,3;2,8;3,1;4,8;4,1;3,5;4,0;3,4;4,7;5,0;4,0
"Niel";1,6;3,4;3,4;2,8;4,7;2,8;2,0;1,7;2,7;3,0;3,9
"Nieuwerkerken";1,8;3,6;2,5;4,8;2,1;3,3;3,0;1,9;1,7;7,6;11,0
"Nieuwpoort";3,6;6,3;4,8;6,3;6,4;7,2;4,7;4,9;5,0;6,6;6,1
"Nijlen";0,8;0,9;1,3;2,0;2,0;3,0;1,9;1,1;2,5;2,6;2,6
"Ninove";2,7;3,7;6,5;5,3;4,6;5,3;5,1;4,8;4,3;5,2;5,3
"Olen";1,3;3,7;3,9;3,4;5,3;5,5;3,0;2,9;4,1;4,9;4,1
"Oostende";7,5;8,5;11,7;10,3;8,6;8,2;7,6;6,5;8,1;11,2;11,2
"Oosterzele";1,8;1,3;2,3;2,3;2,6;3,6;2,4;0,9;2,1;2,8;1,4
"Oostkamp";3,0;2,6;3,2;4,1;3,0;4,0;2,2;3,4;4,1;4,3;4,0
"Oostrozebeke";4,2;5,8;5,6;7,4;7,5;7,1;6,3;4,2;5,6;6,7;5,9
"Opwijk";1,5;2,3;4,8;2,8;3,4;5,8;3,5;4,1;2,9;4,7;4,5
"Oud-Heverlee";2,5;2,6;5,3;3,3;5,0;5,3;5,4;14,0;15,1;10,5;5,0
"Oud-Turnhout";4,4;4,1;4,6;4,3;5,2;7,2;5,4;4,0;8,0;8,5;8,7
"Oudenaarde";4,4;4,4;4,2;4,7;5,5;7,2;6,7;5,4;6,8;7,4;8,4
"Oudenburg";1,3;2,0;3,1;3,0;5,9;3,6;2,7;4,0;5,2;6,3;4,4
"Oudergem";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oudsbergen";1,9;3,7;4,3;3,9;3,6;4,1;3,0;3,1;4,1;4,7;5,0
"Overijse";7,3;6,4;10,4;8,8;8,0;9,8;8,4;7,3;7,8;7,5;6,5
"Pajottegem";1,9;1,4;2,6;1,8;2,0;3,0;3,5;3,0;4,3;4,1;4,1
"Peer";2,1;2,8;3,1;2,3;2,6;3,4;3,2;3,1;3,9;4,9;4,1
"Pelt";8,5;7,6;10,3;6,8;9,0;9,7;7,9;8,2;11,6;13,7;11,4
"Pepingen";2,6;1,7;4,0;0,9;2,8;2,8;4,9;2,2;4,7;2,4;2,7
"Pittem";5,1;6,4;3,5;5,7;4,0;4,8;4,8;4,2;6,5;4,5;3,9
"Poperinge";1,9;1,3;3,5;3,0;3,8;3,6;2,9;2,9;3,7;3,2;3,4
"Putte";1,5;2,2;3,3;4,0;3,8;3,0;4,2;3,6;4,6;4,4;3,6
"Puurs-Sint-Amands";2,2;2,1;3,5;3,3;2,0;3,0;2,5;3,1;4,1;3,7;3,9
"Ranst";11,2;18,5;15,5;10,2;12,0;16,6;11,5;11,4;7,0;5,4;5,5
"Ravels";11,7;10,5;45,4;16,3;26,3;21,0;17,6;13,7;22,5;23,5;24,7
"Retie";5,2;4,5;16,9;7,3;7,5;7,8;6,1;4,7;8,9;8,8;8,5
"Riemst";10,7;11,5;12,0;12,1;10,9;11,4;9,9;6,2;9,9;11,9;10,7
"Rijkevorsel";5,7;3,9;6,4;8,7;9,4;7,3;6,7;6,6;8,7;12,7;8,1
"Roeselare";10,3;11,0;12,7;12,0;16,5;13,8;9,9;10,1;13,7;14,2;13,2
"Ronse";6,6;5,8;9,1;7,3;7,2;7,1;6,2;6,5;9,1;10,8;9,5
"Roosdaal";2,1;1,1;3,3;2,3;2,0;2,8;1,7;2,2;1,9;3,2;4,0
"Rotselaar";2,4;3,4;3,3;4,6;3,0;3,9;3,0;2,6;2,5;4,0;2,0
"Rumst";1,4;2,7;3,2;3,6;4,0;2,4;3,6;2,0;3,2;4,3;4,8
"Schaarbeek";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Schelle";1,4;2,0;1,4;1,5;1,8;1,6;1,9;0,4;1,9;2,7;2,0
"Scherpenheuvel-Zichem";2,3;4,3;8,6;5,9;6,0;7,6;5,3;3,7;4,4;5,7;5,8
"Schilde";2,9;3,3;2,5;3,2;3,3;3,0;2,4;1,8;3,0;2,6;2,5
"Schoten";4,0;3,8;3,7;2,7;3,3;3,0;2,5;2,1;2,9;3,8;4,2
"Sint-Agatha-Berchem";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sint-Genesius-Rode";8,9;8,7;14,2;11,7;11,3;13,7;8,6;8,5;8,5;9,9;6,8
"Sint-Gillis";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sint-Gillis-Waas";4,0;3,3;4,7;5,6;4,6;5,4;3,7;2,8;2,5;4,4;3,9
"Sint-Jans-Molenbeek";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sint-Joost-ten-Node";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sint-Katelijne-Waver";4,9;4,9;5,7;6,6;5,9;8,0;5,2;4,6;8,1;7,4;6,5
"Sint-Lambrechts-Woluwe";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sint-Laureins";4,4;3,7;4,4;3,3;3,8;3,2;3,4;1,8;3,1;7,1;3,9
"Sint-Lievens-Houtem";2,0;3,3;2,9;4,4;2,4;7,6;7,7;4,7;4,1;4,3;6,6
"Sint-Martens-Latem";4,9;3,9;5,4;5,9;4,5;3,7;3,0;2,5;3,5;4,3;3,3
"Sint-Niklaas";7,3;8,1;15,4;7,3;9,6;12,8;9,9;9,8;9,3;9,8;10,0
"Sint-Pieters-Leeuw";5,2;5,3;12,3;9,8;10,3;11,6;11,4;10,8;9,5;11,0;9,0
"Sint-Pieters-Woluwe";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Sint-Truiden";10,7;14,3;13,0;12,5;14,0;13,7;8,6;9,9;8,2;8,7;10,0
"Spiere-Helkijn";9,3;3,7;5,5;1,8;8,6;8,7;2,4;9,1;6,7;11,0;7,9
"Stabroek";2,8;3,0;3,5;5,5;3,2;5,4;3,2;3,7;2,9;5,7;3,5
"Staden";4,0;4,4;6,8;7,9;7,5;10,4;6,6;6,4;11,4;10,5;13,2
"Steenokkerzeel";6,3;4,3;8,7;9,0;6,5;3,7;2,4;3,4;3,3;4,2;3,1
"Stekene";3,0;3,1;4,4;4,0;3,9;3,6;2,6;2,3;3,0;3,6;3,5
"Temse";3,9;4,8;5,3;4,8;5,5;7,1;5,0;6,3;7,8;7,8;8,9
"Ternat";3,3;4,0;5,9;5,1;7,3;8,6;10,7;7,2;9,2;8,0;7,8
"Tervuren";12,6;12,0;17,9;15,9;12,2;16,5;13,5;10,1;12,0;14,4;10,8
"Tessenderlo-Ham";2,2;2,1;2,7;2,1;3,8;2,9;3,1;2,8;4,1;3,3;4,4
"Tielt";5,9;6,3;6,7;6,6;8,5;8,8;7,0;6,3;8,9;7,6;6,5
"Tielt-Winge";0,7;2,1;3,5;2,0;3,7;3,8;3,1;3,8;5,1;6,4;4,9
"Tienen";5,6;5,1;6,6;6,7;7,0;7,4;5,8;5,1;6,8;6,5;6,6
"Tongeren-Borgloon";3,4;3,5;4,5;4,4;5,1;5,1;3,4;4,3;4,6;7,6;7,4
"Torhout";4,6;5,0;3,6;5,4;4,6;5,6;3,7;3,8;5,9;6,3;6,5
"Tremelo";2,1;1,8;2,6;1,3;2,4;2,7;1,7;2,0;1,3;2,7;2,0
"Turnhout";12,0;15,4;24,2;15,8;15,9;15,3;13,7;12,6;16,0;17,8;17,4
"Ukkel";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Veurne";3,0;4,5;4,7;3,3;3,7;4,2;2,0;2,0;3,1;3,6;4,5
"Vilvoorde";7,8;7,7;16,1;10,4;11,2;10,5;7,4;6,8;8,9;10,5;9,2
"Vleteren";2,4;4,2;6,3;4,9;1,7;4,2;0,7;1,8;1,1;2,1;2,1
"Voeren";12,1;13,4;13,6;12,1;10,2;15,9;12,0;14,3;12,3;13,9;11,7
"Vorselaar";1,8;1,7;2,0;2,0;3,9;2,8;4,8;2,9;3,1;4,7;4,2
"Vorst";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Vosselaar";2,3;2,7;4,1;4,1;2,6;3,3;2,2;2,7;3,4;3,2;2,2
"Waasmunster";3,1;2,4;4,3;5,8;3,8;3,3;2,7;2,3;4,5;5,3;3,4
"Waregem";6,1;6,7;6,5;7,6;5,8;6,4;5,7;4,4;6,7;9,6;7,5
"Watermaal-Bosvoorde";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Wellen";1,3;2,0;1,5;1,1;1,5;3,1;1,0;2,0;2,6;5,0;1,6
"Wemmel";8,6;10,9;15,8;16,7;21,1;22,0;14,0;13,6;18,9;19,7;15,1
"Wervik";3,6;3,3;5,5;3,8;7,1;8,6;8,1;5,9;9,7;9,3;8,4
"Westerlo";4,1;2,7;3,3;3,6;4,0;5,7;3,8;3,4;4,2;4,4;3,4
"Wetteren";4,5;4,5;6,3;7,0;6,7;7,2;5,6;6,5;8,0;9,1;8,9
"Wevelgem";2,5;3,6;3,6;2,4;5,1;3,9;3,8;3,7;4,5;4,1;3,5
"Wezembeek-Oppem";12,1;9,2;14,5;13,8;14,8;15,7;9,8;11,9;15,6;12,3;11,2
"Wichelen";2,5;2,7;2,1;1,8;2,2;2,9;1,9;1,7;2,8;2,9;4,6
"Wielsbeke";2,5;2,4;4,6;4,4;4,6;4,1;4,9;4,4;3,7;6,9;4,6
"Wijnegem";4,1;3,8;5,5;6,3;3,5;4,9;4,3;4,1;4,2;4,4;5,6
"Willebroek";5,7;6,7;8,9;8,1;7,0;9,3;8,8;6,6;8,4;11,9;8,6
"Wingene";8,0;7,4;6,0;6,4;7,0;7,1;4,4;4,9;5,7;4,6;5,5
"Wommelgem";4,8;4,2;5,0;4,1;4,6;4,6;3,9;4,0;5,2;4,2;4,6
"Wortegem-Petegem";3,0;1,6;1,6;1,8;1,7;3,3;0,8;1,5;2,3;2,5;2,5
"Wuustwezel";5,4;6,6;8,1;8,2;9,0;9,3;7,4;6,9;8,5;9,5;8,5
"Zandhoven";1,4;2,6;3,5;3,2;2,8;3,5;2,6;1,8;2,4;3,9;3,3
"Zaventem";13,0;11,7;26,2;19,4;20,3;30,8;18,9;21,3;19,6;19,5;17,1
"Zedelgem";3,0;3,3;3,2;2,7;3,8;2,9;2,7;2,3;3,7;4,2;2,5
"Zele";7,4;5,4;8,1;7,0;7,6;8,0;6,1;8,3;10,1;11,4;11,0
"Zelzate";5,7;7,1;9,7;7,6;10,3;9,0;8,7;6,7;9,7;10,8;10,0
"Zemst";1,7;1,4;3,5;1,4;1,9;1,6;1,1;1,9;2,2;2,3;1,3
"Zoersel";2,0;2,5;2,0;1,7;3,1;2,4;1,8;2,5;1,7;2,4;3,2
"Zonhoven";3,1;4,4;4,2;2,8;2,9;4,6;3,6;2,8;4,2;3,3;2,6
"Zonnebeke";2,5;2,3;3,1;1,1;2,4;2,5;2,3;1,5;3,8;6,0;6,0
"Zottegem";3,4;3,0;3,2;4,7;4,3;3,2;3,8;2,6;4,0;4,7;5,2
"Zoutleeuw";2,1;2,8;2,9;2,3;3,4;3,0;8,3;5,2;3,1;4,2;2,3
"Zuienkerke";0,9;1,3;2,7;2,2;2,2;3,5;2,6;3,5;1,8;1,3;4,4
"Zulte";3,6;4,2;5,3;3,2;3,6;4,2;5,4;3,2;5,0;6,6;5,2
"Zutendaal";4,1;7,5;6,5;5,3;6,2;7,1;4,8;4,9;9,0;5,5;8,1
"Zwalm";0,6;1,9;1,7;1,8;0,5;2,3;1,5;1,4;2,1;1,3;2,8
"Zwevegem";2,8;2,5;3,6;3,1;3,0;3,6;3,6;2,9;4,6;4,2;4,5
"Buiten Vlaanderen en Brussel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Niet te lokaliseren";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Niet te lokaliseren - Brussel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Niet te lokaliseren - Vlaanderen";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
